25 20
#############
#@..........#    ########
#...s...s...######......#
#...................c...#
#...........######......#
#.....s.....#    #......#
#...........#    #......#
#...s.......#    #......#
#####..######    ###..###
    #..#           #..#
    #..#           #..#
    #..#          ##..##
  ###..####      #......#
  #..k....#      #......#
  #.......########...s..#
  #.....z...............#
  #.......########....s.#
  #.......#      #......#
  #..s....#      #..x...#
  #########       ######
