25 20
#############
#...........#    ########
#...s...s...######......#
#............d.........#
#...........######......#
#.....s.....#    #......#
#..z........#    #...n..#
#...........#    #......#
#####..######    ###..###
    #..#           #..#
    #k.#           #..#
    #..#          ##..##
  ###..####      #......#
  #..@....#      #......#
  #.......#      #...ttt#
  #.......#      #....-t#
  #t.....t#      #...ttt#
  #t.....t#      #......#
  #ttttttt#      #......#
  #########       ######
