25 20
#############
#@..........#    ########
#...s...s...######......#
#...................c...#
#...........######......#
#.....n.....#    #......#
#...........#    #..#####
#...s.......#    #......#
#####..######    ###..###
    #..#           #..#
    #..#           #..#
    #..#          ##..##
  ###..####      #......#
  #..k....#      #......#
  #.......########...s..#
  #.....z...............#
  ######..########....s.#
  #.......#      #......#
  #..s....#      #..x...#
  #########       ######
